gene_id;gene_symbol;gene_description;baseMean;log2FoldChange;lfcSE;pvalue;padj
ENSG00000240023;RPLP0P3;ribosomal protein lateral stalk subunit P0 pseudogene 3;2,37652413555710e+00;1,86922916959632e+00;0,1008637905955884;2,36826647867568e-79;5,77125171191076e-79
ENSG00000236896;ENSG00000236896;ENSG00000236896;3,23434477345500e+00;1,86905278096533e+00;0,1029534343798024;9,02348398832302e-64;2,01536904780520e-63
ENSG00000278635;ENSG00000278635;ENSG00000278635;4,05088778780848e+00;1,86890603026504e+00;0,0812077177145849;3,19317627099723e-117;9,37307143043273e-117
ENSG00000279598;ENSG00000279598;ENSG00000279598;2,26031118975472e+00;1,86889412433175e+00;0,1461950368142061;7,27370339610944e-05;8,87647031988373e-05
ENSG00000136997;MYC;MYC proto-oncogene, bHLH transcription factor;6,96689385346047e+03;1,86880776303408e+00;0,0526498223145266;8,22509323484207e-278;4,41819841678725e-277
ENSG00000197123;ZNF679;zinc finger protein 679;1,21909505165959e-01;1,86843484498135e+00;0,5414126057504640;4,32130469691559e-02;4,75368475377575e-02
ENSG00000279677;ENSG00000279677;ENSG00000279677;6,34451142977141e-01;1,86806701454760e+00;0,1914757217329029;2,47704944891390e-23;4,04072542959376e-23
ENSG00000251648;ENSG00000251648;ENSG00000251648;2,09021396794429e-01;1,86787450393118e+00;0,3903790414495183;3,23209904914167e-03;3,74122433491114e-03
ENSG00000164934;DCAF13;DDB1 and CUL4 associated factor 13;1,93327830411026e+03;1,86759348492672e+00;0,0257467422166486;0,00000000000000e+00;0,00000000000000e+00
ENSG00000233286;MTND3P10;MT-ND3 pseudogene 10;1,68914267514027e+00;1,86752532424971e+00;0,1041661500399000;6,40693583602063e-06;8,03015206296431e-06
ENSG00000213540;ENSG00000213540;ENSG00000213540;2,05710031156143e+00;1,86730322570212e+00;0,1474089338331102;1,44929634740811e-38;2,72135139229530e-38
ENSG00000142513;ACP4;acid phosphatase 4;3,51524223602051e+00;1,86642906311725e+00;0,0705881714119956;1,11921058958316e-154;3,84877189850896e-154
ENSG00000175792;RUVBL1;RuvB like AAA ATPase 1;2,03343903448011e+03;1,86638933282327e+00;0,0227186135904229;0,00000000000000e+00;0,00000000000000e+00
ENSG00000234213;FHP1;fumarate hydratase pseudogene 1;2,38400137671409e+00;1,86617370468959e+00;0,1117198767318059;8,47726699734754e-66;1,91540644047514e-65
ENSG00000140534;TICRR;TOPBP1 interacting checkpoint and replication regulator;3,76835241843411e+02;1,86613275572694e+00;0,0396032197212496;0,00000000000000e+00;0,00000000000000e+00
ENSG00000178718;RPP25;ribonuclease P/MRP subunit p25;1,18720789603645e+03;1,86592094081924e+00;0,0473299134884587;0,00000000000000e+00;0,00000000000000e+00
ENSG00000265204;ENSG00000265204;ENSG00000265204;7,58796331672644e-01;1,86558339732679e+00;0,2243902302240534;3,33815993529672e-18;5,11968951769865e-18
ENSG00000252847;RNU2-46P;RNA, U2 small nuclear 46, pseudogene;4,88151311259026e-01;1,86494547521561e+00;0,2358379379708024;1,42312570164175e-14;2,08241599065504e-14
ENSG00000261261;ENSG00000261261;ENSG00000261261;1,27669250159872e-01;1,86478166078518e+00;0,6837942180239255;1,08403741455703e-01;1,16588895829513e-01
ENSG00000179958;DCTPP1;dCTP pyrophosphatase 1;2,09343796237511e+03;1,86470622523400e+00;0,0465691278219061;0,00000000000000e+00;0,00000000000000e+00
ENSG00000263466;ENSG00000263466;ENSG00000263466;3,88657968410979e+00;1,86467554651586e+00;0,0919827179342347;9,38799292422628e-72;2,19521515925331e-71
ENSG00000234378;ENSG00000234378;ENSG00000234378;3,19084265181340e+00;1,86464729763029e+00;0,1121911694549177;4,67296858752615e-63;1,03939898006497e-62
ENSG00000224116;INHBA-AS1;INHBA antisense RNA 1;5,75975417128384e+00;1,86462773676116e+00;0,1009636325622901;1,66992663875255e-46;3,33326957631429e-46
ENSG00000164300;SERINC5;serine incorporator 5;4,31350326301728e+03;1,86457443272374e+00;0,0461967309872851;0,00000000000000e+00;0,00000000000000e+00
ENSG00000165215;CLDN3;claudin 3;1,33410719129451e+04;1,86443556732558e+00;0,1266830264101434;8,51428431987802e-50;1,73987549145333e-49
ENSG00000253669;ENSG00000253669;ENSG00000253669;7,83976129085450e+01;1,86378499772952e+00;0,0480470224885361;0,00000000000000e+00;0,00000000000000e+00
ENSG00000128059;PPAT;phosphoribosyl pyrophosphate amidotransferase;6,84730984821588e+02;1,86320840779666e+00;0,0248511591723060;0,00000000000000e+00;0,00000000000000e+00
ENSG00000279818;ENSG00000279818;ENSG00000279818;2,66024226677621e-01;1,86291287568220e+00;0,5991507534032507;2,25839530071005e-02;2,52252329979893e-02
ENSG00000274238;ENSG00000274238;ENSG00000274238;1,37088651849873e+00;1,86290274796771e+00;0,1743964628288484;4,15725581585084e-27;7,03791419904283e-27
ENSG00000237614;ENSG00000237614;ENSG00000237614;4,47516778309069e+00;1,86283571585048e+00;0,1065218253622317;9,50007930121180e-69;2,18388799247410e-68
ENSG00000104889;RNASEH2A;ribonuclease H2 subunit A;5,32364852682811e+00;1,86277189218617e+00;0,0821546216299392;3,94667722730970e-116;1,15273294187751e-115
ENSG00000090447;TFAP4;transcription factor AP-4;8,39296448356207e+02;1,86259908242761e+00;0,0274930151318398;0,00000000000000e+00;0,00000000000000e+00
ENSG00000073849;ST6GAL1;ST6 beta-galactoside alpha-2,6-sialyltransferase 1;3,93335490590294e+03;1,86253336115264e+00;0,0557372693723068;6,01100782051438e-245;2,87174247249300e-244
ENSG00000256494;ENSG00000256494;ENSG00000256494;1,93225672594859e-01;1,86188456046135e+00;0,5131550326325218;1,31739115488159e-02;1,48640847476089e-02
ENSG00000051341;POLQ;DNA polymerase theta;3,58735843828246e+02;1,86185739817964e+00;0,0797849086022502;4,93254179968452e-121;1,47349969648205e-120
ENSG00000179218;CALR;calreticulin;2,40523522532298e+04;1,86128083131021e+00;0,0312176521041511;0,00000000000000e+00;0,00000000000000e+00
