gene_id;gene_symbol;PC1;PC2;PC3;PC4
ENSG00000131503;ANKHD1;2,44734597556045e-02;-2,47991824493197e-02;4,46986103195657e-03;2,24073158932967e-02
ENSG00000213780;GTF2H4;2,44571509599459e-02;-2,09162180434955e-02;-7,62608959253340e-03;1,85136931056571e-02
ENSG00000138944;SHISAL1;2,44477786934792e-02;-2,55224771045916e-03;-3,87202878085645e-03;-1,49554822883419e-02
ENSG00000175161;CADM2;2,44353676321592e-02;-7,75247656005368e-03;-3,69746239272548e-04;-8,21330612140122e-03
ENSG00000219200;RNASEK;2,44287393310827e-02;-2,29849276768838e-02;-1,32368906180878e-02;1,55034833183372e-02
ENSG00000072163;LIMS2;2,43804682903495e-02;-3,26210271874447e-03;-1,35268308434329e-02;-6,90960911064858e-03
ENSG00000162706;CADM3;2,43342124650150e-02;-1,66514351061979e-02;-6,41268191915884e-03;-1,71311865178703e-02
ENSG00000213366;GSTM2;2,43192061022560e-02;-1,75818878786866e-02;-3,24436399731115e-03;7,74912317809239e-03
ENSG00000126950;TMEM35A;2,42735623982886e-02;-3,08575402584860e-03;-6,24784880719455e-03;-5,57004435247379e-03
ENSG00000158246;TENT5B;2,42676829924338e-02;-1,70325359864261e-03;-1,02081748281566e-02;-4,20971609769696e-03
ENSG00000169682;SPNS1;2,42597873765483e-02;-2,15602266989290e-02;-7,35185823447625e-03;1,92315817066896e-02
ENSG00000182712;CMC4;2,41724636166057e-02;-1,87763544903304e-02;-7,64748773096485e-03;1,42675232444728e-02
ENSG00000068976;PYGM;2,41137340611007e-02;-5,00102048966226e-03;-7,02278894496934e-03;-8,11807882188405e-03
ENSG00000141052;MYOCD;2,40957603588577e-02;-4,75445151931237e-03;1,08864936689279e-03;-9,09218219807071e-03
ENSG00000135447;PPP1R1A;2,40923150846987e-02;-2,50676855169657e-03;-6,59080853300804e-03;-5,20087632658195e-03
ENSG00000139910;NOVA1;2,40677071685517e-02;-1,09497319010733e-02;4,48660336086086e-04;-5,81298921092575e-03
ENSG00000062582;MRPS24;2,40160616886878e-02;-2,29196953430467e-02;-1,38885251425314e-02;1,89485059542082e-02
ENSG00000258818;RNASE4;2,40106598558965e-02;-2,49474719409380e-02;-8,08023348335924e-03;1,57555265854433e-02
ENSG00000135842;NIBAN1;2,40099496978545e-02;-4,40098853061219e-03;2,70763888395614e-03;-1,30313555512965e-02
ENSG00000172005;MAL;2,39942010471323e-02;-1,31495238005021e-02;-9,66549119422443e-03;-7,81253442581431e-03
ENSG00000109846;CRYAB;2,39899490162442e-02;-5,05639472211486e-03;-7,85772503806262e-03;-1,41918906327425e-02
ENSG00000141639;MAPK4;2,39543906346197e-02;-2,42818955927723e-03;-4,79880832741937e-03;-5,79383935318878e-03
ENSG00000283992;SLURP2;2,39478218913188e-02;-1,04207199212827e-03;-7,51580936711507e-03;4,75690097245605e-03
ENSG00000280143;ENSG00000280143;2,39427502727969e-02;-2,29249726955442e-02;-8,21902784354344e-03;1,96593167355257e-02
ENSG00000106588;PSMA2;2,39170907575897e-02;-2,30780110410232e-02;5,58895848603835e-03;2,05812370930054e-02
ENSG00000164122;ASB5;2,38768812995891e-02;2,93358250685764e-03;-2,84066278384947e-03;-3,37694850069156e-03
ENSG00000137411;VARS2;2,38640697253059e-02;-2,38375588772731e-02;-1,32116594051463e-03;2,14202526756398e-02
ENSG00000272573;MUSTN1;2,37946302852854e-02;-1,99299987316885e-02;-4,93790841572282e-03;6,57927982018380e-03
ENSG00000143995;MEIS1;2,37597175676320e-02;-5,73393668171906e-03;2,53786137882595e-03;-1,03559103594165e-02
ENSG00000272789;ENSG00000272789;2,37442474459069e-02;-8,02950105526158e-03;-9,33484043933037e-04;9,70133972881748e-03
ENSG00000241343;RPL36A;2,37406184040405e-02;-2,36806188776535e-02;1,78631681752404e-04;2,31698986381286e-02
ENSG00000271303;SRXN1;2,37234181060782e-02;-2,31191171060583e-02;-2,29476254399805e-02;1,76110223842795e-02
ENSG00000034971;MYOC;2,37107486382072e-02;-1,54314111043283e-02;-3,50749176240484e-03;-8,97222612863603e-03
ENSG00000119147;ECRG4;2,36658730332481e-02;-9,36224434217666e-03;-5,90178549019535e-03;-1,10608450700499e-02
ENSG00000090554;FLT3LG;2,36538816331076e-02;-1,56194166846608e-02;-4,94745768728096e-03;5,90299639790255e-03
ENSG00000242441;GTF2A1L;2,36222409392484e-02;-3,66347005031057e-03;-4,09674313883244e-03;7,42990792591290e-03
ENSG00000281991;TMEM265;2,36063204846524e-02;-2,69612167582635e-02;-4,51404605955185e-03;1,94258104349546e-02
ENSG00000184313;MROH7;2,35570734205007e-02;-1,92585549380599e-02;1,17524001447679e-04;1,99216228623379e-02
ENSG00000113296;THBS4;2,34585872313645e-02;7,39519144716134e-03;-3,46858718859801e-04;-2,63861770742310e-02
ENSG00000122687;MRM2;2,34215290936122e-02;-2,22299626438460e-02;-9,25748100763164e-03;1,77429367845041e-02
ENSG00000198467;TPM2;2,32829072803440e-02;3,45747645157020e-03;-1,11783398830373e-02;-1,34130330057878e-02
ENSG00000100628;ASB2;2,32684765827695e-02;-4,82937820747465e-03;-1,19691406814518e-02;-1,36449488959716e-02
ENSG00000149591;TAGLN;2,32455013085153e-02;1,48549938589423e-03;-1,06354236475661e-02;-2,05174529782582e-02
ENSG00000181856;SLC2A4;2,32427789274559e-02;-1,80402343365427e-03;-1,04476958249717e-02;2,29696563539100e-03
